from_location_id,to_location_id,shared_border_km,adjacency_type
loc_830093fffffffff_d16cad1c29,loc_830a6dfffffffff_7a62a6bc6e,11.740236,land
loc_830093fffffffff_d16cad1c29,loc_840a6c9ffffffff_7ad9191114,22.477959,land
loc_830093fffffffff_d16cad1c29,loc_840a6cbffffffff_888dc78ca6,26.075331,land
loc_830096fffffffff_219e281982,loc_830b4bfffffffff_3d18e0ee7a,49.212861,land
loc_830096fffffffff_219e281982,loc_840a65bffffffff_00da452094,47.212909,land
loc_83009afffffffff_9da46b9d32,loc_840a69bffffffff_0b957cdcf1,4.169676,land
loc_83009afffffffff_a17326c971,loc_840a69bffffffff_0b957cdcf1,3.017061,land
loc_83009afffffffff_a451b00fdc,loc_840a69bffffffff_0b957cdcf1,4.776757,land
loc_83009afffffffff_a451b00fdc,loc_840a69bffffffff_e1bda900b2,3.123154,land
loc_8300a0fffffffff_9653382d1f,loc_8300a2fffffffff_a68e3d5083,29.078761,land
loc_8300a0fffffffff_9653382d1f,loc_8300a4fffffffff_9986b8634e,23.357493,land
loc_8300a0fffffffff_9653382d1f,loc_8300a6fffffffff_ae5fa7e992,69.892814,land
loc_8300a2fffffffff_a68e3d5083,loc_8300a3fffffffff_611e5d682c,14.423654,land
loc_8300a2fffffffff_a68e3d5083,loc_8300a3fffffffff_88b237b9f0,55.580428,land
loc_8300a2fffffffff_a68e3d5083,loc_8300a6fffffffff_ae5fa7e992,13.306083,land
loc_8300a4fffffffff_9986b8634e,loc_8300a6fffffffff_ae5fa7e992,26.319572,land
loc_8300a4fffffffff_9986b8634e,loc_83018afffffffff_d6a42b87a8,38.048334,land
loc_8300a4fffffffff_9986b8634e,loc_830199fffffffff_cf11b18c78,66.073063,land
loc_8300a6fffffffff_ae5fa7e992,loc_830199fffffffff_cf11b18c78,2.526403,land
loc_8300a9fffffffff_a2bc18287b,loc_8300f4fffffffff_ff50c3ad41,25.333803,land
loc_8300a9fffffffff_a2bc18287b,loc_8300f6fffffffff_74359dd6d9,6.466834,land
loc_8300b2fffffffff_e0ef7c246d,loc_830b49fffffffff_6ef4648be6,1.302723,land
loc_8300b6fffffffff_602d49c368,loc_830b4dfffffffff_60d6af1474,1.993513,land
loc_8300b6fffffffff_602d49c368,loc_830b69fffffffff_db71b1dd50,11.247251,land
loc_8300b6fffffffff_602d49c368,loc_830b6bfffffffff_7a3d425d8f,71.059770,land
loc_8300d2fffffffff_65e3279187,loc_830521fffffffff_0a8f1fc617,4.650356,land
loc_8300d2fffffffff_65e3279187,loc_8405253ffffffff_12c8e6351b,66.040693,land
loc_8300f4fffffffff_ff50c3ad41,loc_8300f6fffffffff_74359dd6d9,5.213374,land
loc_830120fffffffff_25c0c9ece4,loc_830122fffffffff_84c275bcc6,1.782446,land
loc_830120fffffffff_25c0c9ece4,loc_830123fffffffff_838e97114f,4.907412,land
loc_830120fffffffff_4c11c6c183,loc_830125fffffffff_2bcb89fca4,7.408555,land
loc_830120fffffffff_4c11c6c183,loc_830125fffffffff_f4aab47c48,2.088154,land
loc_830120fffffffff_729402ea10,loc_830124fffffffff_b40a906eaf,1.882154,land
loc_830120fffffffff_729402ea10,loc_830125fffffffff_4ea68861ce,11.545747,land
loc_830120fffffffff_7bda5cb4ab,loc_830122fffffffff_b93a96d8e7,3.916803,land
loc_830120fffffffff_7bda5cb4ab,loc_830126fffffffff_128c078c0b,25.544553,land
loc_830120fffffffff_c6d404601b,loc_830122fffffffff_266bd59dde,0.051919,land
loc_830120fffffffff_c6d404601b,loc_830122fffffffff_c49e0371cd,0.245707,land
loc_830120fffffffff_c79f9d96db,loc_830122fffffffff_84c275bcc6,3.731004,land
loc_830120fffffffff_e324c55e90,loc_830126fffffffff_101c9352e5,2.383816,land
loc_830120fffffffff_fb9b0b4ebe,loc_830122fffffffff_f83f55c38d,5.539004,land
loc_830120fffffffff_fb9b0b4ebe,loc_830124fffffffff_100a6a089a,53.689952,land
loc_830120fffffffff_fb9b0b4ebe,loc_830126fffffffff_4860a88f70,0.292345,land
loc_830122fffffffff_393e4e3a3e,loc_830131fffffffff_29c145812b,8.014739,land
loc_830122fffffffff_393e4e3a3e,loc_830135fffffffff_ec831db77b,21.121499,land
loc_830122fffffffff_84c275bcc6,loc_830123fffffffff_650379f87c,5.929869,land
loc_830122fffffffff_84c275bcc6,loc_830123fffffffff_838e97114f,3.595250,land
loc_830122fffffffff_88b71b0720,loc_830126fffffffff_128c078c0b,36.118121,land
loc_830122fffffffff_88b71b0720,loc_830135fffffffff_447ce5da09,11.194528,land
loc_830122fffffffff_b93a96d8e7,loc_830126fffffffff_128c078c0b,19.475415,land
loc_830124fffffffff_100a6a089a,loc_830125fffffffff_50026c4002,15.306969,land
loc_830124fffffffff_100a6a089a,loc_830126fffffffff_128c078c0b,26.769107,land
loc_830124fffffffff_100a6a089a,loc_830126fffffffff_4860a88f70,0.148778,land
loc_830124fffffffff_100a6a089a,loc_8308cdfffffffff_d97408b72b,42.887526,land
loc_830124fffffffff_100a6a089a,loc_8308e9fffffffff_e0c0b1e590,31.178416,land
loc_830124fffffffff_100a6a089a,loc_8308ebfffffffff_c63d575598,62.857962,land
loc_830124fffffffff_95274e1cbd,loc_830125fffffffff_50026c4002,11.150240,land
loc_830124fffffffff_b40a906eaf,loc_830125fffffffff_4ea68861ce,3.360410,land
