province_id,location_id,piece_id
prv_00ac1df83f20a9ac5c7e,loc_830c23fffffffff_e4b96a298a,whole
prv_00ac1df83f20a9ac5c7e,loc_830c24fffffffff_11c18e3de9,whole
prv_00ac1df83f20a9ac5c7e,loc_830c25fffffffff_1febe1b5f6,whole
prv_00ac1df83f20a9ac5c7e,loc_830c26fffffffff_6e5bfe226e,whole
prv_00ac1df83f20a9ac5c7e,loc_830c28fffffffff_dc1cc77ec3,whole
prv_00ac1df83f20a9ac5c7e,loc_830c29fffffffff_072cf0abaf,whole
prv_00ac1df83f20a9ac5c7e,loc_830c2afffffffff_e329a96dbf,whole
prv_00ac1df83f20a9ac5c7e,loc_830c2bfffffffff_ba3267be9f,whole
prv_00ac1df83f20a9ac5c7e,loc_830c2cfffffffff_18c18ef06c,whole
prv_00ac1df83f20a9ac5c7e,loc_830c2dfffffffff_ffdb9f906d,whole
prv_00ac1df83f20a9ac5c7e,loc_830c2efffffffff_0e1f8ff3ba,whole
prv_00ac1df83f20a9ac5c7e,loc_830c30fffffffff_5328061db0,whole
prv_00ac1df83f20a9ac5c7e,loc_830c31fffffffff_9db0fe5e81,whole
prv_00ac1df83f20a9ac5c7e,loc_830c32fffffffff_e1b7bf4be3,whole
prv_00ac1df83f20a9ac5c7e,loc_830c33fffffffff_cba33cbe59,whole
prv_00ac1df83f20a9ac5c7e,loc_830c34fffffffff_24732cffb6,whole
prv_00ac1df83f20a9ac5c7e,loc_830c35fffffffff_31cd3f8788,whole
prv_00ac1df83f20a9ac5c7e,loc_830c44fffffffff_743647ea82,whole
prv_00ac1df83f20a9ac5c7e,loc_830c45fffffffff_2519a2994a,whole
prv_00ac1df83f20a9ac5c7e,loc_830c46fffffffff_2918cacdf0,whole
prv_00ac1df83f20a9ac5c7e,loc_830c50fffffffff_6ce7be0a63,whole
prv_00ac1df83f20a9ac5c7e,loc_830c52fffffffff_168922f66e,whole
prv_00ac1df83f20a9ac5c7e,loc_830c54fffffffff_b515d26176,whole
prv_00ac1df83f20a9ac5c7e,loc_830c56fffffffff_7a716a70b0,whole
prv_00ac1df83f20a9ac5c7e,loc_830c60fffffffff_ab369657e5,whole
prv_00ac1df83f20a9ac5c7e,loc_830c61fffffffff_7f1ecf5878,whole
prv_00ac1df83f20a9ac5c7e,loc_830c62fffffffff_a0b170f00e,whole
prv_00ac1df83f20a9ac5c7e,loc_830c63fffffffff_456580990c,whole
prv_00ac1df83f20a9ac5c7e,loc_830c64fffffffff_5a290324c0,whole
prv_00ac1df83f20a9ac5c7e,loc_830c65fffffffff_6cc14c7c5a,whole
prv_00ac1df83f20a9ac5c7e,loc_830c66fffffffff_20741ce010,whole
prv_00ac1df83f20a9ac5c7e,loc_830c68fffffffff_7742a79c91,whole
prv_00ac1df83f20a9ac5c7e,loc_830c6cfffffffff_383beb3b5c,whole
prv_00ac1df83f20a9ac5c7e,loc_830c6dfffffffff_30c337b319,whole
prv_00ac1df83f20a9ac5c7e,loc_830c6efffffffff_89bd986a2e,whole
prv_00ac1df83f20a9ac5c7e,loc_830c70fffffffff_a1d7a12e22,whole
prv_00ac1df83f20a9ac5c7e,loc_830c71fffffffff_5ef3f74178,whole
prv_00ac1df83f20a9ac5c7e,loc_830c72fffffffff_4f17507df3,whole
prv_00ac1df83f20a9ac5c7e,loc_830c73fffffffff_03fc06fc64,whole
prv_00ac1df83f20a9ac5c7e,loc_830c74fffffffff_6451d4c307,whole
prv_00ac1df83f20a9ac5c7e,loc_830c75fffffffff_a413e7ba18,whole
prv_00ac1df83f20a9ac5c7e,loc_830c76fffffffff_7d1e15b13a,whole
prv_00ac1df83f20a9ac5c7e,loc_830cadfffffffff_5b1db02865,whole
prv_00ac1df83f20a9ac5c7e,loc_830ce0fffffffff_d3f9b20b86,whole
prv_00ac1df83f20a9ac5c7e,loc_830ce1fffffffff_09b648920c,whole
prv_00ac1df83f20a9ac5c7e,loc_830ce2fffffffff_1743453f9f,whole
prv_00ac1df83f20a9ac5c7e,loc_830ce3fffffffff_9d90c94e0e,whole
prv_00ac1df83f20a9ac5c7e,loc_830ce4fffffffff_3ab9147bc5,whole
prv_00ac1df83f20a9ac5c7e,loc_830ce5fffffffff_e5ed598aed,whole
prv_00ac1df83f20a9ac5c7e,loc_830ce6fffffffff_c3d467f5d2,whole
prv_00ac1df83f20a9ac5c7e,loc_830ce8fffffffff_b75cdccd23,whole
prv_00ac1df83f20a9ac5c7e,loc_830ceafffffffff_85fe99647e,whole
prv_00ac1df83f20a9ac5c7e,loc_830cecfffffffff_15e7738a78,whole
prv_00ac1df83f20a9ac5c7e,loc_830ceefffffffff_1b0820c410,whole
prv_00ac1df83f20a9ac5c7e,loc_830cf5fffffffff_44d7488347,whole
prv_00ac1df83f20a9ac5c7e,loc_830d03fffffffff_a3b88246c4,whole
prv_00ac1df83f20a9ac5c7e,loc_830d08fffffffff_80025b0ae2,whole
prv_00ac1df83f20a9ac5c7e,loc_830d09fffffffff_a876c31513,whole
prv_00ac1df83f20a9ac5c7e,loc_830d0afffffffff_4fa815b27f,whole
prv_00ac1df83f20a9ac5c7e,loc_830d0bfffffffff_100bd5c1a1,whole
prv_00ac1df83f20a9ac5c7e,loc_830d0cfffffffff_fb6a4ce58e,whole
prv_00ac1df83f20a9ac5c7e,loc_830d0dfffffffff_aab26356d7,whole
prv_00ac1df83f20a9ac5c7e,loc_830d0efffffffff_1d18f654ef,whole
prv_00ac1df83f20a9ac5c7e,loc_830d18fffffffff_fc321ba2ec,whole
prv_00ac1df83f20a9ac5c7e,loc_830d19fffffffff_33e807b809,whole
prv_00ac1df83f20a9ac5c7e,loc_830d1afffffffff_27b9c883b3,whole
prv_00ac1df83f20a9ac5c7e,loc_830d1bfffffffff_812aabb768,whole
prv_00ac1df83f20a9ac5c7e,loc_830d1cfffffffff_a6d43d6d5c,whole
prv_00ac1df83f20a9ac5c7e,loc_830d1dfffffffff_e899fc2e34,whole
prv_00ac1df83f20a9ac5c7e,loc_830d1efffffffff_555988aeeb,whole
prv_00ac1df83f20a9ac5c7e,loc_830d40fffffffff_04b852b212,whole
prv_00ac1df83f20a9ac5c7e,loc_830d41fffffffff_b53548e19d,whole
prv_00ac1df83f20a9ac5c7e,loc_830d42fffffffff_52d13bb9d3,whole
prv_00ac1df83f20a9ac5c7e,loc_830d43fffffffff_b1d632a857,whole
prv_00ac1df83f20a9ac5c7e,loc_830d44fffffffff_061732466d,whole
prv_00ac1df83f20a9ac5c7e,loc_830d45fffffffff_f06fad2800,whole
prv_00ac1df83f20a9ac5c7e,loc_830d46fffffffff_2c4763ade3,whole
prv_00ac1df83f20a9ac5c7e,loc_830d48fffffffff_60bd0c0ff0,whole
prv_00ac1df83f20a9ac5c7e,loc_830d49fffffffff_6c04e27d44,whole
prv_00ac1df83f20a9ac5c7e,loc_830d4afffffffff_5d0a82ab11,whole
prv_00ac1df83f20a9ac5c7e,loc_830d4bfffffffff_e7d135ed05,whole
prv_00ac1df83f20a9ac5c7e,loc_830d4cfffffffff_628b02f6aa,whole
prv_00ac1df83f20a9ac5c7e,loc_830d4dfffffffff_53ad4256fe,whole
prv_00ac1df83f20a9ac5c7e,loc_830d4efffffffff_6a86ded270,whole
prv_00ac1df83f20a9ac5c7e,loc_830d50fffffffff_a9dc6fa468,whole
prv_00ac1df83f20a9ac5c7e,loc_830d51fffffffff_1097e62794,whole
prv_00ac1df83f20a9ac5c7e,loc_830d52fffffffff_a7829121f9,whole
prv_00ac1df83f20a9ac5c7e,loc_830d53fffffffff_feb8211167,whole
prv_00ac1df83f20a9ac5c7e,loc_830d54fffffffff_d7192e193d,whole
prv_00ac1df83f20a9ac5c7e,loc_830d55fffffffff_0297a1f172,whole
prv_00ac1df83f20a9ac5c7e,loc_830d56fffffffff_041df5af36,whole
prv_00ac1df83f20a9ac5c7e,loc_830d58fffffffff_2e96859e64,whole
prv_00ac1df83f20a9ac5c7e,loc_830d59fffffffff_f8ca32da48,whole
prv_00ac1df83f20a9ac5c7e,loc_830d5afffffffff_dbb3358f4b,whole
prv_00ac1df83f20a9ac5c7e,loc_830d5bfffffffff_07003a6721,whole
prv_00ac1df83f20a9ac5c7e,loc_830d5cfffffffff_69fb7c6d3d,whole
prv_00ac1df83f20a9ac5c7e,loc_830d5dfffffffff_2f81213fd9,whole
prv_00ac1df83f20a9ac5c7e,loc_830d5efffffffff_0604622057,whole
prv_00ac1df83f20a9ac5c7e,loc_830d60fffffffff_b009e7a64a,whole
prv_00ac1df83f20a9ac5c7e,loc_830d61fffffffff_3c88ad2a25,whole
prv_00ac1df83f20a9ac5c7e,loc_830d62fffffffff_442d5120aa,whole
prv_00ac1df83f20a9ac5c7e,loc_830d63fffffffff_81cb8fac88,whole
prv_00ac1df83f20a9ac5c7e,loc_830d64fffffffff_2c0486de9c,whole
prv_00ac1df83f20a9ac5c7e,loc_830d65fffffffff_9ab32ab6d9,whole
prv_00ac1df83f20a9ac5c7e,loc_830d68fffffffff_59f29e0ec7,whole
prv_00ac1df83f20a9ac5c7e,loc_830d69fffffffff_3a6dfee1ea,whole
prv_00ac1df83f20a9ac5c7e,loc_830d6afffffffff_3076eb388b,whole
prv_00ac1df83f20a9ac5c7e,loc_830d6bfffffffff_5a65862852,whole
prv_00ac1df83f20a9ac5c7e,loc_830d6cfffffffff_9cbe503677,whole
prv_00ac1df83f20a9ac5c7e,loc_830d6dfffffffff_f956806e83,whole
prv_00ac1df83f20a9ac5c7e,loc_830d6efffffffff_5166bb31a6,whole
prv_00ac1df83f20a9ac5c7e,loc_830d70fffffffff_473f401002,whole
prv_00ac1df83f20a9ac5c7e,loc_830d71fffffffff_ffc432fd0c,whole
prv_00ac1df83f20a9ac5c7e,loc_830d72fffffffff_3f0adf5683,whole
prv_00ac1df83f20a9ac5c7e,loc_830d73fffffffff_36186f7c70,whole
prv_00ac1df83f20a9ac5c7e,loc_830d74fffffffff_add5d77e68,whole
prv_00ac1df83f20a9ac5c7e,loc_830d75fffffffff_fdbf34ad60,whole
prv_00ac1df83f20a9ac5c7e,loc_830d76fffffffff_4bcf87e63f,whole
prv_00ac1df83f20a9ac5c7e,loc_830da9fffffffff_5f6d62aef7,whole
prv_00ac1df83f20a9ac5c7e,loc_830dadfffffffff_24e0675076,whole
prv_00ac1df83f20a9ac5c7e,loc_830e00fffffffff_414c847723,whole
prv_00ac1df83f20a9ac5c7e,loc_830e01fffffffff_4d934bfbd4,whole
prv_00ac1df83f20a9ac5c7e,loc_830e03fffffffff_cd0f64dac6,whole
prv_00ac1df83f20a9ac5c7e,loc_830e04fffffffff_e7908b4d61,whole
prv_00ac1df83f20a9ac5c7e,loc_830e05fffffffff_73bdf25b63,whole
prv_00ac1df83f20a9ac5c7e,loc_830e06fffffffff_a9ac28f3e8,whole
prv_00ac1df83f20a9ac5c7e,loc_830e08fffffffff_1b3b1d8ef3,whole
prv_00ac1df83f20a9ac5c7e,loc_830e09fffffffff_32cac7a25e,whole
prv_00ac1df83f20a9ac5c7e,loc_830e0bfffffffff_d5b63ebdf5,whole
prv_00ac1df83f20a9ac5c7e,loc_830e0cfffffffff_12e38378e8,whole
prv_00ac1df83f20a9ac5c7e,loc_830e0dfffffffff_b9f3be6935,whole
prv_00ac1df83f20a9ac5c7e,loc_830e0efffffffff_22dd25d1a1,whole
prv_00ac1df83f20a9ac5c7e,loc_830e21fffffffff_bb84155470,whole
prv_00ac1df83f20a9ac5c7e,loc_830e22fffffffff_4d0230f8a0,whole
prv_00ac1df83f20a9ac5c7e,loc_830e23fffffffff_fe5254b0a9,whole
prv_00ac1df83f20a9ac5c7e,loc_830e28fffffffff_43cd80049b,whole
prv_00ac1df83f20a9ac5c7e,loc_830e29fffffffff_466d7ce80b,whole
prv_00ac1df83f20a9ac5c7e,loc_830e2afffffffff_89b7c0af23,whole
prv_00ac1df83f20a9ac5c7e,loc_830e2bfffffffff_ef7f90ea19,whole
prv_00ac1df83f20a9ac5c7e,loc_830e2cfffffffff_107bf2ee55,whole
prv_00ac1df83f20a9ac5c7e,loc_830e2efffffffff_0a177471bd,whole
prv_00ac1df83f20a9ac5c7e,loc_830e31fffffffff_362659f3ee,whole
prv_00ac1df83f20a9ac5c7e,loc_830e40fffffffff_d69e210cb7,whole
prv_00ac1df83f20a9ac5c7e,loc_830e41fffffffff_65d6dbb6d6,whole
prv_00ac1df83f20a9ac5c7e,loc_830e42fffffffff_b86fee4228,whole
prv_00ac1df83f20a9ac5c7e,loc_830e43fffffffff_893f4e4c3a,whole
prv_00ac1df83f20a9ac5c7e,loc_830e44fffffffff_af49e3d5ad,whole
prv_00ac1df83f20a9ac5c7e,loc_830e45fffffffff_292cacd130,whole
prv_00ac1df83f20a9ac5c7e,loc_830e46fffffffff_97814507f1,whole
prv_00ac1df83f20a9ac5c7e,loc_830e48fffffffff_6058d53645,whole
prv_00ac1df83f20a9ac5c7e,loc_830e49fffffffff_20ce1ded10,whole
prv_00ac1df83f20a9ac5c7e,loc_830e4afffffffff_76d6c6acad,whole
prv_00ac1df83f20a9ac5c7e,loc_830e4bfffffffff_b1404338e1,whole
prv_00ac1df83f20a9ac5c7e,loc_830e4cfffffffff_2b0a004b3a,whole
prv_00ac1df83f20a9ac5c7e,loc_830e4dfffffffff_80c23d1a73,whole
prv_00ac1df83f20a9ac5c7e,loc_830e4efffffffff_e50cc33071,whole
prv_00ac1df83f20a9ac5c7e,loc_830e50fffffffff_4213cdd665,whole
prv_00ac1df83f20a9ac5c7e,loc_830e51fffffffff_f7a05a70f4,whole
prv_00ac1df83f20a9ac5c7e,loc_830e52fffffffff_5943e03be9,whole
prv_00ac1df83f20a9ac5c7e,loc_830e53fffffffff_7f6ebffcd7,whole
prv_00ac1df83f20a9ac5c7e,loc_830e54fffffffff_50c3136354,whole
prv_00ac1df83f20a9ac5c7e,loc_830e55fffffffff_789ba86595,whole
prv_00ac1df83f20a9ac5c7e,loc_830e56fffffffff_03eaa87aca,whole
prv_00ac1df83f20a9ac5c7e,loc_830e58fffffffff_561f7ccecd,whole
prv_00ac1df83f20a9ac5c7e,loc_830e59fffffffff_5c43de2b4e,whole
prv_00ac1df83f20a9ac5c7e,loc_830e5afffffffff_def4ee1657,whole
prv_00ac1df83f20a9ac5c7e,loc_830e5bfffffffff_f32f45f2aa,whole
prv_00ac1df83f20a9ac5c7e,loc_830e5cfffffffff_d7f7f7bba6,whole
prv_00ac1df83f20a9ac5c7e,loc_830e5dfffffffff_1aec758c42,whole
prv_00ac1df83f20a9ac5c7e,loc_830e5efffffffff_3bb2162909,whole
prv_00ac1df83f20a9ac5c7e,loc_830e60fffffffff_808f712e6a,whole
prv_00ac1df83f20a9ac5c7e,loc_830e61fffffffff_72319dbf51,whole
prv_00ac1df83f20a9ac5c7e,loc_830e62fffffffff_f26c82faa0,whole
prv_00ac1df83f20a9ac5c7e,loc_830e63fffffffff_7a6eef212e,whole
prv_00ac1df83f20a9ac5c7e,loc_830e64fffffffff_703e151a6c,whole
prv_00ac1df83f20a9ac5c7e,loc_830e65fffffffff_1d70127b45,whole
